t,zero_1,zero_2,zero_3,zero_4,zero_5
0.392,28.04257421,41.74927085,49.79154757,60.4796692,65.68384575
0.393,28.04199631,41.7485217,49.79095911,60.47873603,65.68336125
0.394,28.04141842,41.74777257,49.79037065,60.47780291,65.6828767
0.395,28.04084054,41.74702345,49.78978218,60.47686984,65.68239209
0.396,28.04026265,41.74627434,49.78919371,60.47593683,65.68190743
0.397,28.03968478,41.74552525,49.78860523,60.47500387,65.68142273
0.398,28.0391069,41.74477618,49.78801675,60.47407096,65.68093801
0.399,28.03852904,41.74402712,49.78742825,60.47313811,65.68045323
0.4,28.03795117,41.74327807,49.78683975,60.47220531,65.6799684
0.401,28.03737331,41.74252904,49.78625125,60.47127257,65.67948351
0.402,28.03679546,41.74178002,49.78566274,60.47033987,65.67899859
0.403,28.03621761,41.74103102,49.78507422,60.46940723,65.67851364
0.404,28.03563976,41.74028203,49.7844857,60.46847464,65.67802862
0.405,28.03506192,41.73953306,49.78389717,60.46754211,65.67754354
0.406,28.03448408,41.7387841,49.78330863,60.46660963,65.67705845
0.407,28.03390625,41.73803516,49.78272009,60.46567721,65.67657332
0.408,28.03332842,41.73728623,49.78213154,60.46474483,65.67608812
0.409,28.0327506,41.73653731,49.78154298,60.46381251,65.67560289
0.41,28.03217278,41.73578841,49.78095442,60.46288024,65.67511761
0.411,28.03159496,41.73503953,49.78036585,60.46194803,65.67463228
0.412,28.03101715,41.73429066,49.77977728,60.46101587,65.67414691
0.413,28.03043934,41.7335418,49.77918869,60.46008376,65.6736615
0.414,28.02986154,41.73279296,49.77860011,60.45915171,65.67317605
0.415,28.02928375,41.73204414,49.77801151,60.45821971,65.67269055
0.416,28.02870595,41.73129533,49.77742291,60.45728776,65.67220499
0.417,28.02812816,41.73054653,49.77683431,60.45635586,65.67171939
0.418,28.02755038,41.72979775,49.77624569,60.45542402,65.67123375
0.419,28.0269726,41.72904898,49.77565707,60.45449223,65.67074807
0.42,28.02639483,41.72830023,49.77506845,60.45356049,65.67026235
0.421,28.02581705,41.72755149,49.77447982,60.45262881,65.66977656
0.422,28.02523929,41.72680276,49.77389118,60.45169718,65.66929076
0.423,28.02466153,41.72605406,49.77330253,60.4507656,65.6688049
0.424,28.02408377,41.72530536,49.77271388,60.44983408,65.66831897
0.425,28.02350602,41.72455668,49.77212523,60.4489026,65.66783304
0.426,28.02292827,41.72380802,49.77153656,60.44797119,65.66734703
0.427,28.02235052,41.72305937,49.77094789,60.44703982,65.66686098
0.428,28.02177279,41.72231073,49.77035922,60.44610851,65.6663749
0.429,28.02119505,41.72156211,49.76977053,60.44517725,65.66588877
0.43,28.02061732,41.7208135,49.76918185,60.44424604,65.66540261
0.431,28.02003959,41.72006491,49.76859315,60.44331489,65.66491638
0.432,28.01946187,41.71931634,49.76800445,60.44238379,65.66443012
0.433,28.01888415,41.71856777,49.76741574,60.44145274,65.66394381
0.434,28.01830644,41.71781923,49.76682703,60.44052174,65.66345746
0.435,28.01772873,41.71707069,49.76623831,60.4395908,65.66297106
0.436,28.01715103,41.71632217,49.76564958,60.43865991,65.66248462
0.437,28.01657333,41.71557367,49.76506085,60.43772907,65.66199813
0.438,28.01599564,41.71482518,49.76447211,60.43679829,65.6615116
0.439,28.01541794,41.71407671,49.76388336,60.43586756,65.66102502
0.44,28.01484026,41.71332825,49.76329461,60.43493688,65.66053841
0.441,28.01426258,41.7125798,49.76270585,60.43400625,65.66005173
0.442,28.0136849,41.71183137,49.76211709,60.43307568,65.65956501
0.443,28.01310723,41.71108296,49.76152832,60.43214515,65.65907827
0.444,28.01252956,41.71033455,49.76093954,60.43121468,65.65859147
0.445,28.01195189,41.70958617,49.76035076,60.43028427,65.65810464
0.446,28.01137424,41.7088378,49.75976197,60.42935391,65.65761774
0.447,28.01079658,41.70808944,49.75917317,60.4284236,65.65713082
0.448,28.01021893,41.7073411,49.75858437,60.42749334,65.65664383
0.449,28.00964128,41.70659277,49.75799556,60.42656313,65.65615682
0.45,28.00906364,41.70584445,49.75740675,60.42563298,65.65566975
0.451,28.00848601,41.70509616,49.75681793,60.42470288,65.65518265
0.452,28.00790837,41.70434787,49.7562291,60.42377283,65.65469548
0.453,28.00733074,41.7035996,49.75564027,60.42284283,65.65420829
0.454,28.00675312,41.70285135,49.75505143,60.42191289,65.65372107
0.455,28.0061755,41.70210311,49.75446258,60.420983,65.65323376
